Epoch,ACC,AUC,AUPR,F1,LOSS,recall_1,recall_5,recall_10,recall_25,recall_50
1,0.5107421875,0.6014656961484466,0.5004626083470917,0.07050092764378478,0.6893523980979808,1.0,1.0,1.0,1.0,1.0
2,0.6064453125,0.6527650613440761,0.5612223591352788,0.594159113796576,0.6845542200608179,1.0,1.0,1.0,1.0,1.0
3,0.599609375,0.6926234511383752,0.5537572320437109,0.6816770186335404,0.6828243431518786,1.0,1.0,1.0,1.0,1.0
4,0.5556640625,0.7313068424586462,0.527476309927405,0.6868547832071578,0.681280619930476,1.0,1.0,1.0,1.0,1.0
5,0.5205078125,0.7615134590734298,0.5084937019002493,0.6733200266134398,0.6807573900441639,1.0,1.0,1.0,1.0,1.0
6,0.5146484375,0.7951611426478666,0.5054726368159204,0.6715135492399207,0.6789582908677403,1.0,1.0,1.0,1.0,1.0
7,0.5068359375,0.8216367576146006,0.5014807502467917,0.6679815910585142,0.6816716578614432,1.0,1.0,1.0,1.0,1.0
8,0.5048828125,0.8467695171824452,0.5004926108374385,0.6671043992120815,0.6843974722432904,1.0,1.0,1.0,1.0,1.0
9,0.5068359375,0.8704945675395227,0.5014807502467917,0.6679815910585142,0.682466691971058,1.0,1.0,1.0,1.0,1.0
10,0.513671875,0.8925219739974365,0.5049701789264414,0.6710700132100397,0.678867854498094,1.0,1.0,1.0,1.0,1.0
11,0.5205078125,0.9121001953244217,0.5085085085085085,0.6741871267418712,0.6701698089309502,1.0,1.0,1.0,1.0,1.0
12,0.529296875,0.9244453091619362,0.5131313131313131,0.678237650200267,0.663388091197703,1.0,1.0,1.0,1.0,1.0
13,0.54296875,0.935466642251114,0.5204918032786885,0.6846361185983827,0.6499949552526232,1.0,1.0,1.0,1.0,1.0
14,0.560546875,0.9456296160654336,0.5302713987473904,0.6930422919508867,0.6300231878558407,1.0,1.0,1.0,1.0,1.0
15,0.595703125,0.9543314716474395,0.5509761388286334,0.7104895104895105,0.601116611433099,1.0,1.0,1.0,1.0,1.0
16,0.64453125,0.9619079228468534,0.5825688073394495,0.736231884057971,0.5662718521489296,1.0,1.0,1.0,1.0,1.0
17,0.6796875,0.9660280473661722,0.6076555023923444,0.7559523809523809,0.5421362465131097,1.0,1.0,1.0,1.0,1.0
18,0.7255859375,0.9695797472990295,0.6438529784537389,0.7833461835003855,0.5171612742487923,1.0,1.0,1.0,1.0,1.0
19,0.740234375,0.9729445156564732,0.6563307493540051,0.7925117004680187,0.49997213995084167,1.0,1.0,1.0,1.0,1.0
