Epoch,ACC,AUC,AUPR,F1,LOSS,recall_1,recall_5,recall_10,recall_25,recall_50
1,0.525390625,0.5556512090603,0.5267417262559589,0.6864516129032259,0.6898654294200242,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9851851851851852
2,0.53125,0.5883226201408019,0.5300587767737618,0.6875000000000001,0.6884068369981833,1.0,1.0,1.0,1.0,1.0
3,0.529296875,0.6275252525252526,0.5288050631396805,0.6882276843467011,0.6858298443257809,1.0,1.0,1.0,1.0,1.0
4,0.52734375,0.6698921028466482,0.5273971611808727,0.6901408450704225,0.6832299800007604,1.0,1.0,1.0,1.0,1.0
5,0.529296875,0.7066153963881237,0.5283757338551859,0.6914212548015364,0.6800688185612671,1.0,1.0,1.0,1.0,1.0
6,0.537109375,0.7371709519436792,0.5325989457528181,0.6945876288659795,0.6757268172805198,1.0,1.0,1.0,1.0,1.0
7,0.5712890625,0.7701943679216406,0.5517649050402536,0.7098479841374753,0.668802689819131,1.0,1.0,1.0,1.0,1.0
8,0.607421875,0.8067952249770431,0.573744063298212,0.7261580381471391,0.6581976632296573,1.0,1.0,1.0,1.0,1.0
9,0.6552734375,0.8421219773492501,0.6058115770042194,0.7494677075940384,0.6414864739635959,1.0,1.0,1.0,1.0,1.0
10,0.701171875,0.876113406795225,0.6400324654192702,0.7746686303387335,0.6147927231504582,1.0,1.0,1.0,1.0,1.0
11,0.7607421875,0.9089856902356902,0.6906970026214128,0.8108108108108109,0.5771279213659,1.0,1.0,1.0,1.0,1.0
12,0.830078125,0.9362450260177533,0.7615062465958606,0.8573770491803279,0.5272610039100982,1.0,1.0,1.0,1.0,1.0
13,0.8876953125,0.9596150902969085,0.8327639085218094,0.900776531492666,0.4614623271263554,1.0,1.0,1.0,1.0,1.0
14,0.9248046875,0.9762894092439547,0.8873661559631554,0.9310653536257832,0.3880240469070486,1.0,1.0,1.0,1.0,1.0
15,0.9443359375,0.9865243342516069,0.9207905738514149,0.9477543538038496,0.3155695105383529,1.0,1.0,1.0,1.0,1.0
16,0.9599609375,0.9921831955922864,0.9442793993204761,0.9621421975992615,0.25297691723699245,1.0,1.0,1.0,1.0,1.0
17,0.9697265625,0.9955693296602388,0.9589906290799147,0.9712696941612603,0.20418204776990478,1.0,1.0,1.0,1.0,1.0
18,0.9794921875,0.9977310988674625,0.9731091907200496,0.9805013927576602,0.164196393985776,1.0,1.0,1.0,1.0,1.0
19,0.986328125,0.9989669421487604,0.9820104898113726,0.9870129870129869,0.12898557828077628,1.0,1.0,1.0,1.0,1.0
