direction,AUC,AUPR,LogAUC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25EF_50
pathway94_15_3,1.0,0.9999999999999999,0.08412050499517681,1.0,1.0,1.0,1.0,1.0,0.019342359767891684,0.09864603481624758,0.19729206963249515,0.4951644100580271,0.9903288201160542
pathway49_90_9,1.0,1.0,0.08698060216501283,1.0,1.0,1.0,1.0,1.0,0.02,0.102,0.204,0.512,1.0
pathway19_90_4,1.0,1.0,0.0811386214225866,1.0,1.0,1.0,1.0,1.0,0.018656716417910446,0.09514925373134328,0.19029850746268656,0.47761194029850745,0.9552238805970149
pathway49_45_7,1.0,1.0,0.08680698818863555,1.0,1.0,1.0,1.0,1.0,0.01996007984031936,0.10179640718562874,0.20359281437125748,0.5109780439121756,1.0
pathway19_45_1,1.0,1.0,0.08629027992560798,1.0,1.0,1.0,1.0,1.0,0.01984126984126984,0.10119047619047619,0.20238095238095238,0.5079365079365079,1.0
pathway94_30_5,1.0,1.0,0.08577968655326709,1.0,1.0,1.0,1.0,1.0,0.01972386587771203,0.10059171597633136,0.20118343195266272,0.504930966469428,1.0
pathway19_90_7,1.0,1.0,0.08577968655326709,1.0,1.0,1.0,1.0,1.0,0.01972386587771203,0.10059171597633136,0.20118343195266272,0.504930966469428,1.0
pathway19_45_2,1.0,1.0,0.08821562085701098,1.0,1.0,1.0,1.0,1.0,0.02028397565922921,0.10344827586206896,0.20689655172413793,0.5192697768762677,1.0
halve_2_4,1.0,1.0,0.08331475303162149,1.0,1.0,1.0,1.0,1.0,0.019157088122605363,0.09770114942528736,0.19540229885057472,0.4904214559386973,0.9808429118773946
pathway49_75_3,1.0,1.0,0.08252429047913931,1.0,1.0,1.0,1.0,1.0,0.018975332068311195,0.0967741935483871,0.1935483870967742,0.4857685009487666,0.9715370018975332
pathway19_120_4,1.0,0.9999999999999999,0.08985599397212068,1.0,1.0,1.0,1.0,1.0,0.02066115702479339,0.10537190082644628,0.21074380165289255,0.5289256198347108,1.0
pathway49_105_6,1.0,1.0,0.08315545140058588,1.0,1.0,1.0,1.0,1.0,0.019120458891013385,0.09751434034416825,0.1950286806883365,0.4894837476099426,0.9789674952198852
pathway19_15_6,1.0,0.9999999999999999,0.08646183117794516,1.0,1.0,1.0,1.0,1.0,0.019880715705765408,0.10139165009940358,0.20278330019880716,0.5089463220675944,1.0
pathway19_105_5,1.0,0.9999999999999999,0.08252429047913931,1.0,1.0,1.0,1.0,1.0,0.018975332068311195,0.0967741935483871,0.1935483870967742,0.4857685009487666,0.9715370018975332
pathway19_135_5,1.0,1.0,0.08205717185378568,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.09622641509433963,0.19245283018867926,0.4830188679245283,0.9660377358490566
