Epoch,ACC,AUC,Precision,Recall,AUPR,F1,LOSS
1,0.525390625,0.5556512090603,0.5267326732673268,0.9851851851851852,0.5267417262559589,0.6864516129032259,0.6898654283722863
2,0.53125,0.5883226201408019,0.5301204819277109,0.9777777777777777,0.5300587767737618,0.6875000000000001,0.6884068328654394
3,0.529296875,0.6275290786654422,0.5288270377733598,0.9851851851851852,0.5288050631396805,0.6882276843467011,0.6858296450809576
4,0.52734375,0.6699380165289257,0.5273972602739726,0.9981481481481481,0.5273971611808727,0.6901408450704225,0.6832291491446085
5,0.529296875,0.70667661463116,0.5283757338551859,1.0,0.5283757338551859,0.6914212548015364,0.6800709766102955
6,0.537109375,0.7373469543924089,0.532608695652174,0.9981481481481481,0.5325989457528181,0.6945876288659795,0.6757374656735919
7,0.5703125,0.7708601163146618,0.5513347022587269,0.9944444444444445,0.5512014191906229,0.7093791281373845,0.6687717346067075
8,0.6064453125,0.8085514233241506,0.573735199138859,0.987037037037037,0.5731338285018738,0.7256637168141593,0.6580789843865205
9,0.6484375,0.8438475665748393,0.6027397260273972,0.9777777777777777,0.601064259893455,0.7457627118644068,0.6412353912892286
10,0.7001953125,0.8780111723293541,0.6422466422466423,0.9740740740740741,0.6392676783735812,0.7740986019131715,0.6143163389351685
11,0.755859375,0.9107782369146006,0.6897905759162304,0.975925925925926,0.6858798189960249,0.808282208588957,0.5764011050632689
12,0.8310546875,0.9377984389348026,0.7694566813509545,0.9703703703703703,0.7622829648664817,0.8583128583128583,0.5255603477125987
13,0.890625,0.9601124885215794,0.8474025974025974,0.9666666666666667,0.8367339691558442,0.903114186851211,0.45840813982795225
14,0.923828125,0.9764118457300275,0.9052631578947369,0.9555555555555556,0.8884667397660819,0.9297297297297298,0.38399829865829815
15,0.943359375,0.9866505968778696,0.9397810218978102,0.9537037037037037,0.9206867037543931,0.9466911764705882,0.3111126245789819
16,0.955078125,0.9922329354147537,0.9591078066914498,0.9555555555555556,0.9399182930607187,0.9573283858998145,0.24936614577472938
17,0.96875,0.9954545454545455,0.9703703703703703,0.9703703703703703,0.9572436556927297,0.9703703703703703,0.20111654031506987
18,0.9775390625,0.9975321395775941,0.9813780260707635,0.975925925925926,0.9704475712764674,0.978644382544104,0.1623312073862735
19,0.9873046875,0.9989363330272422,0.9906890130353817,0.9851851851851852,0.9838246387681908,0.9879294336118849,0.12801901321722653
20,0.9921875,0.9996594735231099,0.9944237918215614,0.9907407407407407,0.9900989766195099,0.992578849721707,0.10018258687716752
21,0.994140625,0.9999043464952555,0.9944444444444445,0.9944444444444445,0.9918494405864198,0.9944444444444445,0.07816343515150947
22,0.9990234375,0.9999923477196204,0.9981515711645101,1.0,0.9981515711645101,0.9990749306197965,0.06262256687011813
23,1.0,1.0,1.0,1.0,1.0,1.0,0.05363514094551647
24,1.0,1.0,1.0,1.0,1.0,1.0,0.04713277983739772
25,1.0,1.0,1.0,1.0,1.0,1.0,0.043635026010747424
26,1.0,1.0,1.0,1.0,1.0,1.0,0.043437967150453005
27,1.0,1.0,1.0,1.0,1.0,1.0,0.04353626874274141
28,1.0,1.0,1.0,1.0,1.0,1.0,0.043569413555928804
29,1.0,1.0,1.0,1.0,1.0,1.0,0.041483512932131816
30,1.0,1.0,1.0,1.0,1.0,1.0,0.03894422542475695
31,1.0,1.0,1.0,1.0,1.0,1.0,0.03715308747405288
32,1.0,1.0,1.0,1.0,1.0,1.0,0.03200001160541888
33,1.0,1.0,1.0,1.0,1.0,1.0,0.029571311725817395
34,1.0,1.0,1.0,1.0,1.0,1.0,0.029192315077239073
35,1.0,1.0,1.0,1.0,1.0,1.0,0.028374318423402656
36,1.0,1.0,1.0,1.0,1.0,1.0,0.028804608624454886
37,1.0,1.0,1.0,1.0,1.0,1.0,0.027046115513485347
38,1.0,1.0,1.0,1.0,1.0,1.0,0.02751674238390933
39,1.0,1.0,1.0,1.0,1.0,1.0,0.026124536071847615
40,1.0,1.0,1.0,1.0,1.0,1.0,0.025498286799802372
41,1.0,1.0,1.0,1.0,1.0,1.0,0.02445521115828342
42,1.0,1.0,1.0,1.0,1.0,1.0,0.02417024543728985
43,1.0,1.0,1.0,1.0,1.0,1.0,0.022772859589281325
44,1.0,1.0,1.0,1.0,1.0,1.0,0.023537237129517052
45,1.0,1.0,1.0,1.0,1.0,1.0,0.023194634528408642
46,1.0,1.0,1.0,1.0,1.0,1.0,0.022779485431556168
47,1.0,1.0,1.0,1.0,1.0,1.0,0.022704984489564595
48,1.0,1.0,1.0,1.0,1.0,1.0,0.02260192200219535
49,1.0,1.0,1.0,1.0,1.0,1.0,0.022071259839094637
50,1.0,1.0,1.0,1.0,1.0,1.0,0.02082894498778387
51,1.0,1.0,1.0,1.0,1.0,1.0,0.02157123218535162
52,1.0,1.0,1.0,1.0,1.0,1.0,0.021624137964067813
53,1.0,1.0,1.0,1.0,1.0,1.0,0.021271866909842174
54,1.0,1.0,1.0,1.0,1.0,1.0,0.02182651498173982
55,1.0,1.0,1.0,1.0,1.0,1.0,0.021551632437422086
56,1.0,1.0,1.0,1.0,1.0,1.0,0.020183741783057485
57,1.0,1.0,1.0,1.0,1.0,1.0,0.01980844984950636
58,1.0,1.0,1.0,1.0,1.0,1.0,0.02047419044220078
59,1.0,1.0,1.0,1.0,1.0,1.0,0.020774831380549585
60,1.0,1.0,1.0,1.0,1.0,1.0,0.02091578423392093
61,1.0,1.0,1.0,1.0,1.0,1.0,0.02096571566505645
62,1.0,1.0,1.0,1.0,1.0,1.0,0.021395654001025832
63,1.0,1.0,1.0,1.0,1.0,1.0,0.020990565758438606
64,1.0,1.0,1.0,1.0,1.0,1.0,0.021255954839944025
